PDF Name,egfr,IC50,T790M,L858R,19del,deletion,Reason
zhang2022.pdf,,,,,,,Unable to open
soldan2019.pdf,0,0,0,0,0,0,No Keywords Found
remon2018.pdf,151,4,102,5,0,0,
yang2022.pdf,,,,,,,Unable to open
WO2017004357A1.pdf,,,,,,,Image Format
shawish2022.pdf,,,,,,,Unable to open
mao2020.pdf,56,23,2,2,0,1,
lee2021.pdf,126,62,14,1,0,0,
jia2022.pdf,,,,,,,Unable to open
goehringer2021.pdf,73,12,0,1,0,0,
zuo2022.pdf,,,,,,,Unable to open
US10758624.pdf,3,0,0,0,0,3,
kumar2021.pdf,75,13,11,11,0,0,
jiwacharoenchai2021.pdf,,,,,,,Unable to open
S0045206821005289.pdf,52,19,7,0,0,0,
lu2021.pdf,162,0,7,3,0,2,
thabet2022.pdf,,,,,,,Unable to open
lauretti2020.pdf,0,0,0,0,0,1,
